1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1
1,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1
1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,6,1
1,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,1
1,6,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1
1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,1
1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
